"profile_id","housewife_name","sf_id","drama_score","feuds","key_moments","talking_points","confessional_draft","show","season","franchise","episode_title","source_url","video_id","raw_file","enriched_at","sf_contact_name","sf_email","sf_contact_status"
"lisa-rinna__real-housewives-of-beverly-hills__s11__reunion","Lisa Rinna","003Hs00007ZzLLOIA3","72","Garcelle Beauvais: called out for her behavior toward Garcelle and perceived attacks
Sutton Stracke: ongoing friction and confrontational dynamic throughout the season
Crystal Kung Minkoff: tension stemming from season conflicts","Fiery pre-reunion declaration: 'There's gonna be some shots taken and some shots fired'
Warned the cast: 'There's gonna be some winners and there's gonna be some losers — well, that's life baby'
Challenged by another Housewife who asks why she didn't confront her directly: 'Why don't you come to me and say Rinna, what are you doing?'
Confronted about her anger level: 'Am I angry? Now enough for you?'","Own your aggressive energy this season — frame it as passion, not cruelty
Be ready to explain why you defended Erika so hard while others had doubts
Address the 'shots fired' mentality — are you the aggressor or the defender?
Have a response ready for those who say you attack first and ask questions later
Acknowledge if your loyalty to Erika clouded your judgment toward other cast members","I said what I said — there are gonna be winners and losers at this reunion, and I did not come here to lose. People think I'm the villain this season, but I was the only one willing to stand up and say what everyone else was whispering. That's not cruelty, that's called being real.","Real Housewives of Beverly Hills","11","Beverly Hills","Reunion","https://youtu.be/zNtNTpCVCbE?si=nQLNBSVntcSDZogl","zNtNTpCVCbE","real-housewives-of-beverly-hills-s11-reunion-1776899902726.json","2026-04-22T23:19:21.601932+00:00","Lisa Rinna","lisa.rinna@example.com","New"
"dorit-kemsley__real-housewives-of-beverly-hills__s11__reunion","Dorit Kemsley","003Hs00007ZzKsVIAV","48","Sutton Stracke: ongoing friction over perceived judgment and social dynamics
Garcelle Beauvais: tension over tone and communication style","Called out over the way she spoke to another castmate: 'The way that you spoke to me is not okay'
Accused of laughing at another woman's expense: 'You and your husband were laughing at my supplies'","Address the accusation about laughing at a castmate — clarify the context and apologize if needed
Acknowledge the communication style criticism and show growth
Reinforce your bond with Kyle as a stable alliance in a chaotic season
Be prepared to defend PK's behavior at social events if it comes up again
Highlight your own emotional moments this season to show vulnerability, not just polish","I would never intentionally mock or belittle someone, and the fact that my intentions are being twisted into something ugly is genuinely hurtful. PK and I were not laughing at anyone — and if it came across that way, I am truly sorry. But let's be honest, there are bigger things to address at this reunion than a misunderstood moment.","Real Housewives of Beverly Hills","11","Beverly Hills","Reunion","https://youtu.be/zNtNTpCVCbE?si=nQLNBSVntcSDZogl","zNtNTpCVCbE","real-housewives-of-beverly-hills-s11-reunion-1776899902726.json","2026-04-22T23:19:21.601932+00:00","Dorit Kemsley","dorit.kemsley@example.com","Existing (Updated)"
"garcelle-beauvais__real-housewives-of-beverly-hills__s11__reunion","Garcelle Beauvais","003Hs00007ZzKsQIAV","68","Erika Girardi: consistently questioned Erika's honesty and held her accountable for the victims
Lisa Rinna: called out Rinna's combative behavior and perceived bullying tactics","Pressed Erika on the air crash victims: 'It lands differently when there are air crash victims'
Demanded Erika ask Tom directly about his guilt: 'Have you asked him if he did it?'
Challenged Erika to actually back up her claims, asking others: 'Can someone please back me the [expletive] up on what I'm saying?'","Stand firmly as the voice of accountability for Erika's victims — do not back down
Be ready for pushback from Rinna loyalists — stay calm and factual
Articulate clearly why the air crash victims framing is so important to you personally
Address your evolving friendship with Sutton and how you became aligned this season
Prepare for questions about whether you were too hard on Erika or appropriately tough","I came into this franchise to bring a different perspective, and part of that is not looking the other way when real people are hurting. Those air crash victims are not a storyline — they are real people who lost everything. Somebody on this couch had to say it out loud, and I'm glad it was me.","Real Housewives of Beverly Hills","11","Beverly Hills","Reunion","https://youtu.be/zNtNTpCVCbE?si=nQLNBSVntcSDZogl","zNtNTpCVCbE","real-housewives-of-beverly-hills-s11-reunion-1776899902726.json","2026-04-22T23:19:21.601932+00:00","Garcelle Beauvais","garcelle.beauvais@example.com","Existing (Updated)"
"sutton-stracke__real-housewives-of-beverly-hills__s11__reunion","Sutton Stracke","003Hs00007ZzKsfIAF","74","Erika Girardi: direct and repeated confrontations over Erika's credibility and the victims
Lisa Rinna: Rinna's aggressive behavior toward Sutton throughout the season
Crystal Kung Minkoff: tension around boundaries and the infamous bedroom incident","Erika threatened her directly: 'We're gonna put you on a skewer and I'm gonna fire up the barbecue'
Held firm against Erika's intimidation tactics around the Tom Girardi fraud narrative
Part of the broader group confronting Erika about manipulating the cognitive decline timeline","You stood your ground against Erika's intimidation — own that courage
Address the 'skewer' threat directly and explain how it made you feel
Clarify your position on Tom's victims: it was never personal against Erika, it was about accountability
Be ready to revisit the Crystal bedroom conflict and show where you two stand now
Defend your consistency — you said the same things publicly that you said privately","When someone tells you they're going to put you on a skewer, you have two choices: run, or stand your ground. I chose to stand my ground. I wasn't trying to destroy Erika — I was trying to make sure we didn't all just look away from the people who actually got hurt.","Real Housewives of Beverly Hills","11","Beverly Hills","Reunion","https://youtu.be/zNtNTpCVCbE?si=nQLNBSVntcSDZogl","zNtNTpCVCbE","real-housewives-of-beverly-hills-s11-reunion-1776899902726.json","2026-04-22T23:19:21.601932+00:00","Sutton Stracke","sutton.stracke@example.com","Existing (Updated)"
"crystal-kung-minkoff__real-housewives-of-beverly-hills__s11__reunion","Crystal Kung Minkoff","003Hs00007ZzLKQIA3","42","Sutton Stracke: the season-defining bedroom/boundaries conflict
Lisa Rinna: caught in crossfire of broader cast tensions","Referenced indirectly in the broader reunion tension as a newer cast member navigating established dynamics
The bedroom incident with Sutton looms as a defining talking point for her first reunion appearance","Address the Sutton bedroom incident with clarity — what your boundaries were and why they mattered
Establish yourself as a confident new voice, not just a reactive player
Be ready to explain how you navigated being a rookie in a cast full of veterans
Share how the season's heavy Erika/Tom storyline affected you as a newer Housewife
Show that you've grown from the conflicts of the season and have a clear perspective going forward","Being new to this group means everyone is watching to see if you'll fold under pressure — and I refuse to fold. What happened between Sutton and me was real, my feelings were valid, and I'm not going to minimize that just to keep the peace. I know who I am, and this reunion is where I get to prove it.","Real Housewives of Beverly Hills","11","Beverly Hills","Reunion","https://youtu.be/zNtNTpCVCbE?si=nQLNBSVntcSDZogl","zNtNTpCVCbE","real-housewives-of-beverly-hills-s11-reunion-1776899902726.json","2026-04-22T23:19:21.601932+00:00","Crystal Kung Minkoff","crystal.kung.minkoff@example.com","New"
"kathy-hilton__real-housewives-of-beverly-hills__s11__reunion","Kathy Hilton","003Hs00007ZzKsgIAF","55","General cast tension: arrived with prepared notes to address multiple grievances
Dorit Kemsley / castmates: the 'laughing at supplies' confrontation","Made a notable entrance mid-reunion: 'We are joined by the one and only Kathy Hilton'
Arrived with literal written notes: 'I have a few notes in case because I wanted to address a few things'
Took accountability for her actions: 'All these things I don't feel great about — I did them, it happened, each and every one of them haunts me'
Revealed the scale of hate speech she received: 'It's hundreds a day'
Called out castmates for laughing: 'You and your husband were laughing at my supplies'","Your accountability moment — owning your mistakes — is your strongest card, play it early
Address the online hate speech you've received and the emotional toll it took
Explain the notes: you came prepared because you wanted to be precise, not because you were coached
Clarify the 'supplies' incident and why it felt like a betrayal from people you trusted
Navigate the Kyle family dynamic carefully — sisterhood is complicated but it's real","I came to this reunion with my notes and my truth, because I owed it to everyone — including myself — to say what I needed to say clearly. Yes, I made mistakes, and I own every single one of them. But receiving hundreds of hateful messages a day because of how this season was edited? That's something I needed people to hear.","Real Housewives of Beverly Hills","11","Beverly Hills","Reunion","https://youtu.be/zNtNTpCVCbE?si=nQLNBSVntcSDZogl","zNtNTpCVCbE","real-housewives-of-beverly-hills-s11-reunion-1776899902726.json","2026-04-22T23:19:21.601932+00:00","Kathy Hilton","kathy.hilton@example.com","Existing (Updated)"
"kyle-richards__real-housewives-of-beverly-hills__s14__reunion-part-i","Kyle Richards","003Hs00007ZzKskIAF","72","Garcelle Beauvais: Accused by Garcelle (via Bose's Hot Mic podcast comments) of lying during TextGate — specifically of omitting that the group text contained more than just 'jokes and memes'
Dorit Kemsley: Accused of trying to get Dorit's husband PK on her side and of showing the other women text messages in a juvenile attempt to recruit allies","Directly confronted with Garcelle's quote from the Hot Mic podcast: 'Kyle is a liar' — Kyle responds, 'I've never been accused of being a liar'
Pushes back on the 'omission = lie' framing: 'I never lied in the conversations that I was a part of'
Accused by Dorit of speaking to PK to get him on her side; Kyle insists she was only explaining why she and Dorit weren't speaking
Criticized for showing the group text messages to the other women, called 'juvenile' by Dorit","TextGate: Clarify the distinction between omission and an outright lie — you only spoke to your own involvement in the texts
PK conversation: You spoke to PK once, at your agency party, only to explain the status of your friendship with Dorit — not to gossip or recruit him
Showing the texts: Address whether sharing the messages was a tactical move or a defensive one
Respond to Garcelle publicly calling you a liar on a podcast before even confronting you privately
Acknowledge what, if anything, you would have done differently in how you communicated about the texts","I have never, in my entire life, been called a liar — and to find out that Garcelle said it on a podcast before she ever said it to my face? That's not honesty, that's a performance. There's a big difference between omitting something and lying, and if anyone at this table actually wanted the truth, they could have just asked me.","Real Housewives of Beverly Hills","14","Beverly Hills","Reunion Part I","https://youtu.be/YDp947oinIU?si=UbGcMb9kagKP5K-k","YDp947oinIU","real-housewives-of-beverly-hills-s14-reunion-part-i-1776709824407.json","2026-04-22T22:04:23.078624+00:00","Kyle Richards","kyle.richards@example.com","Existing (Updated)"
"garcelle-beauvais__real-housewives-of-beverly-hills__s14__reunion-part-i","Garcelle Beauvais","003Hs00007ZzKsQIAV","68","Kyle Richards: Called Kyle a liar publicly on the Hot Mic podcast regarding TextGate, standing by the claim at the reunion that omissions equal lies","Her Hot Mic podcast quote — 'Kyle is a liar' — is read back to her on stage; she doubles down: 'Let me make that correct. That girl was lying.'
Articulates the omission argument: Kyle said the texts were just jokes and memes, but more was later revealed
Expresses shock and disgust at Sutton's wallet comment, saying it was 'beneath' Sutton and that she doubled and tripled down in confessionals
Confirmed she felt she couldn't even defend Sutton in the moment of the wallet comment","Stand firm on the 'omissions equal lies' position — Kyle's own words about the texts contradicted what was later revealed
Address why you chose to air your 'liar' accusation on a podcast rather than directly to Kyle first
Sutton's wallet comment: You were shocked and found it disgusting — make clear your loyalty has limits when someone crosses a line
Clarify whether your feud with Kyle is solely about TextGate or symptomatic of a deeper trust breakdown","I said what I said, and I meant every word of it. When you tell everyone the texts were just jokes and memes and then the truth comes out — that's not an omission, honey, that's a lie. I'm not going to soften that just because it makes Kyle uncomfortable.","Real Housewives of Beverly Hills","14","Beverly Hills","Reunion Part I","https://youtu.be/YDp947oinIU?si=UbGcMb9kagKP5K-k","YDp947oinIU","real-housewives-of-beverly-hills-s14-reunion-part-i-1776709824407.json","2026-04-22T22:04:23.078624+00:00","Garcelle Beauvais","garcelle.beauvais@example.com","Existing (Updated)"
"dorit-kemsley__real-housewives-of-beverly-hills__s14__reunion-part-i","Dorit Kemsley","003Hs00007ZzKsVIAV","61","Kyle Richards: Accuses Kyle of leveraging a private conversation with PK to build alliances against her, and of showing the group text to other women as a juvenile power move","Calls out Kyle for speaking to PK: 'You're talking to my husband like he's on your side, trying to get him on your side'
Accuses Kyle of showing the text messages to the other women to recruit allies: 'Kyle, it's juvenile'
Referenced in connection to Kyle and PK's one conversation — Kyle's version is that she only explained why they weren't speaking","TextGate fallout: Address why it felt like a betrayal that Kyle went to PK rather than directly to you
Establish the timeline — when did you find out Kyle had spoken to PK, and what did PK tell you about it?
The text-sharing: Why does showing the messages to the group feel like a breach of trust to you specifically?
Are you and Kyle currently on speaking terms, or is the friendship effectively over?","Going to my husband behind my back and showing all the girls those messages — that's not how a real friend handles conflict. I don't care what the excuse is; you go to the person, not around them. Kyle knew exactly what she was doing.","Real Housewives of Beverly Hills","14","Beverly Hills","Reunion Part I","https://youtu.be/YDp947oinIU?si=UbGcMb9kagKP5K-k","YDp947oinIU","real-housewives-of-beverly-hills-s14-reunion-part-i-1776709824407.json","2026-04-22T22:04:23.078624+00:00","Dorit Kemsley","dorit.kemsley@example.com","Existing (Updated)"
"sutton-stracke__real-housewives-of-beverly-hills__s14__reunion-part-i","Sutton Stracke","003Hs00007ZzKsfIAF","55","Garcelle Beauvais: Made a cutting 'wallet' comment about Garcelle that shocked the group; Garcelle called it disgusting and said Sutton doubled and tripled down in confessionals","The 'wallet comment' is brought up — Sutton made a remark that Garcelle's wallet only bought her a horse and not a date
A subsequent confessional where Sutton doubled down on the comment is highlighted, prompting Garcelle to call it 'disgusting' and 'very beneath you'
Reportedly told someone off-camera before the reunion: 'I'm not proud of that' — confirmed on stage
The host notes 'Sutton can't defend Sutton' in reference to how indefensible the moment was","Own the wallet comment fully — you've already said you're not proud of it; lead with that accountability
Explain what emotional state or frustration led you to make that comment in the first place
Address the confessional doubling-down — why did you lean into it on camera if you privately knew it was wrong?
Respond to the 'you don't live like the Queen of Sheba / you live on a main road' comment made about you — is that a fair hit back?","Was it my finest moment? Absolutely not, and I've said that. But when someone has been coming for me all season, sometimes things come out of your mouth that you wish you could take back. I'm not proud of it — but I'm also not going to pretend this all happened in a vacuum.","Real Housewives of Beverly Hills","14","Beverly Hills","Reunion Part I","https://youtu.be/YDp947oinIU?si=UbGcMb9kagKP5K-k","YDp947oinIU","real-housewives-of-beverly-hills-s14-reunion-part-i-1776709824407.json","2026-04-22T22:04:23.078624+00:00","Sutton Stracke","sutton.stracke@example.com","Existing (Updated)"
"kathy-hilton__real-housewives-of-beverly-hills__s14__reunion-part-i","Kathy Hilton","003Hs00007ZzKsgIAF","22","","Praised by the host for her ability to extract gossip and 'tea' from the other women, particularly at a lunch she hosted
Launches into a meandering story about discovering she is 'part Chinese from 3,000 BC' via a woman she met in Venice, Italy — the woman reportedly looked up Kathy's birth name on her phone
The group is visibly confused trying to determine whether the Venice woman was a psychic, a DNA tester, or simply a stranger with a phone
Kathy's quote: 'I am part Chinese 3000 BC' delivered with complete sincerity amid the group's bewilderment","Lean into your reputation as the group's unexpected intel-gatherer — it's a fun, unthreatening role
Be prepared to explain the Venice/Chinese ancestry story more coherently — the group will absolutely ask again
Clarify: psychic, DNA test, or Google search? The ambiguity is the punchline but also the scrutiny
Stay in your lane as comic relief and group stabilizer — it's working in your favor this season","People underestimate me, and that's honestly my greatest gift. I'm sitting at that lunch, I'm asking a few little questions, and suddenly everyone's telling me everything. And as for Venice — I'm just saying, the woman looked it up, and here we are. Three thousand BC, darling.","Real Housewives of Beverly Hills","14","Beverly Hills","Reunion Part I","https://youtu.be/YDp947oinIU?si=UbGcMb9kagKP5K-k","YDp947oinIU","real-housewives-of-beverly-hills-s14-reunion-part-i-1776709824407.json","2026-04-22T22:04:23.078624+00:00","Kathy Hilton","kathy.hilton@example.com","Existing (Updated)"
